date,pm10,no2,so2
2023/5/2,6,5,
2023/5/3,12,8,7
2023/5/4,20,8,2
2023/5/5,12,6,
2023/5/6,12,1,
2023/5/7,6,3,
2023/5/8,15,2,
2023/5/9,20,4,
2023/5/10,18,3,
2023/5/11,11,1,
2023/5/12,4,1,
2023/5/13,5,1,
2023/5/14,6,2,
2023/5/15,6,3,
2023/5/16,6,1,
2023/5/17,4,,
2023/5/18,5,2,
2023/5/19,11,2,
2023/5/20,11,4,
2023/5/21,12,6,1
2023/5/22,20,5,
2023/5/23,14,4,
2023/5/24,7,5,
2023/5/25,6,,
2023/4/1,6,,
2023/4/2,6,,
2023/4/3,7,,
2023/4/7,25,,
2023/4/8,19,,
2023/4/9,11,2,
2023/4/10,11,6,1
2023/4/11,12,4,
2023/4/12,11,3,
2023/4/13,8,,
2023/4/14,4,1,
2023/4/15,7,1,
2023/4/16,6,1,
2023/4/17,7,5,
2023/4/18,7,2,
2023/4/19,10,4,
2023/4/20,8,5,
2023/4/21,15,4,
2023/4/22,12,,
2023/4/24,7,3,
2023/4/25,7,5,
2023/4/26,11,4,
2023/4/27,16,7,
2023/4/28,19,4,
2023/4/29,10,,23
2023/1/2,11,7,1
2023/1/3,21,5,1
2023/1/4,20,7,1
2023/1/5,17,7,
2023/1/6,15,6,1
2023/1/7,17,7,
2023/1/8,17,6,
2023/1/9,16,2,
2023/1/10,3,13,1
2023/1/11,29,14,2
2023/1/12,24,13,2
2023/1/13,17,10,
2023/1/14,15,,
2023/1/16,11,9,
2023/1/17,13,9,
2023/1/18,15,4,
2023/1/19,9,3,
2023/1/20,8,1,
2023/1/21,4,3,
2023/1/22,5,6,23
2023/1/23,12,10,
2023/1/24,12,7,
2023/1/25,14,5,
2023/1/26,15,5,
2023/1/27,10,7,
2023/1/28,18,4,
2023/1/29,17,10,1
2023/1/30,16,6,
2023/1/31,7,12,
2023/2/1,18,7,
2023/2/2,7,9,1
2023/2/3,14,1,
2023/2/4,4,5,
2023/2/5,13,10,
2023/2/6,25,13,
2023/2/7,32,12,
2023/2/8,27,11,1
2023/2/9,28,16,1
2023/2/10,29,16,1
2023/2/11,28,11,1
2023/2/12,21,13,1
2023/2/13,22,13,
2023/2/14,26,13,
2023/2/15,37,15,2
2023/2/16,36,19,2
2023/2/17,32,13,
2023/2/18,22,5,
2023/2/19,12,9,
2023/2/20,19,10,1
2023/2/21,18,12,1
2023/2/22,22,13,1
2023/2/23,34,7,1
2023/2/24,26,3,
2023/2/25,10,1,
2023/2/26,5,5,
2023/2/27,12,5,
2023/2/28,24,7,1
2023/3/1,28,7,1
2023/3/2,21,7,
2023/3/3,24,6,
2023/3/4,22,4,
2023/3/5,21,5,
2023/3/6,24,8,
2023/3/7,22,9,1
2023/3/8,21,9,
2023/3/9,15,9,1
2023/3/10,17,1,
2023/3/11,8,4,
2023/3/12,10,13,1
2023/3/13,21,8,1
2023/3/14,15,5,
2023/3/15,17,6,
2023/3/16,26,10,3
2023/3/17,26,8,1
2023/3/18,24,9,3
2023/3/19,27,10,3
2023/3/20,29,9,3
2023/3/21,31,10,2
2023/3/22,27,11,2
2023/3/23,29,2,1
2023/3/24,17,2,
2023/3/25,6,4,1
2023/3/26,9,4,
2023/3/27,4,3,
2023/3/28,9,10,2
2023/3/29,20,3,3
2023/3/30,20,2,1
2023/3/31,10,1,1
2022/10/1,8,2,1
2022/10/2,8,3,1
2022/10/3,9,4,1
2022/10/4,16,6,1
2022/10/5,23,4,1
2022/10/6,26,4,1
2022/10/7,22,3,1
2022/10/8,22,3,1
2022/10/9,17,4,1
2022/10/10,21,5,1
2022/10/11,25,3,1
2022/10/12,30,3,1
2022/10/13,32,4,1
2022/10/14,35,3,1
2022/10/15,41,2,1
2022/10/16,28,4,1
2022/10/17,36,5,1
2022/10/18,38,4,1
2022/10/19,29,3,1
2022/10/20,20,6,1
2022/10/21,30,5,1
2022/10/22,23,5,1
2022/10/23,14,6,2
2022/10/24,22,5,1
2022/10/25,15,4,1
2022/10/26,17,5,1
2022/10/27,21,6,2
2022/10/28,22,5,2
2022/10/29,20,5,2
2022/10/30,23,7,2
2022/10/31,24,5,1
2022/11/1,14,7,1
2022/11/2,20,4,1
2022/11/3,14,3,1
2022/11/4,10,3,1
2022/11/5,6,4,1
2022/11/6,11,8,2
2022/11/7,14,6,1
2022/11/8,19,5,1
2022/11/9,21,6,2
2022/11/10,24,6,2
2022/11/11,19,8,3
2022/11/12,19,5,2
2022/11/13,22,7,1
2022/11/14,32,6,1
2022/11/15,27,4,1
2022/11/16,18,6,1
2022/11/17,22,5,1
2022/11/18,23,6,1
2022/11/19,12,4,1
2022/11/20,12,7,1
2022/11/21,18,6,1
2022/11/22,14,5,1
2022/11/23,11,8,1
2022/11/24,20,8,1
2022/11/25,20,8,3
2022/11/26,21,7,2
2022/11/27,18,7,1
2022/11/28,24,5,1
2022/11/29,30,5,1
2022/11/30,21,6,1
2022/12/1,13,7,1
2022/12/2,21,6,1
2022/12/3,23,5,1
2022/12/4,14,6,1
2022/12/5,13,8,
2022/12/6,11,7,
2022/12/7,17,5,
2022/12/8,16,6,
2022/12/9,16,5,
2022/12/10,11,2,
2022/12/11,4,6,
2022/12/12,13,10,1
2022/12/13,24,10,1
2022/12/14,32,10,
2022/12/15,42,9,
2022/12/16,40,7,
2022/12/17,25,7,
2022/12/18,19,7,
2022/12/19,24,8,
2022/12/20,35,8,
2022/12/21,41,7,1
2022/12/22,34,7,1
2022/12/23,17,7,
2022/12/24,20,7,1
2022/12/25,16,8,3
2022/12/26,10,6,1
2022/12/27,15,8,
2022/12/28,22,9,3
2022/12/29,13,10,3
2022/12/30,21,10,4
2022/12/31,19,8,5
2023/1/1,17,8,4
2022/7/1,42,,
2022/7/5,6,4,
2022/7/6,12,5,
2022/7/7,13,2,
2022/7/8,7,1,
2022/7/9,7,2,
2022/7/10,5,2,
2022/7/11,11,5,
2022/7/12,10,5,1
2022/7/13,23,8,2
2022/7/14,32,5,1
2022/7/15,26,1,
2022/7/16,12,2,
2022/7/17,11,5,1
2022/7/18,29,5,1
2022/7/19,33,6,3
2022/7/20,35,6,1
2022/7/21,38,5,1
2022/7/22,26,5,1
2022/7/23,17,3,
2022/7/24,10,4,
2022/7/25,18,2,
2022/7/26,9,6,1
2022/7/27,10,4,
2022/7/28,11,5,
2022/7/29,13,2,
2022/7/30,6,2,
2022/7/31,9,6,1
2022/8/1,16,3,1
2022/8/2,13,4,1
2022/8/3,26,4,
2022/8/4,38,7,
2022/8/5,28,4,
2022/8/6,10,1,
2022/8/7,5,2,
2022/8/8,21,3,
2022/8/9,26,5,
2022/8/10,25,5,
2022/8/11,33,3,
2022/8/12,15,4,
2022/8/13,9,2,
2022/8/14,8,6,
2022/8/15,10,5,
2022/8/16,22,8,1
2022/8/17,35,12,1
2022/8/18,14,5,
2022/8/19,13,4,
2022/8/20,9,1,
2022/8/21,3,2,
2022/8/22,9,3,
2022/8/23,5,4,1
2022/8/24,7,6,
2022/8/25,14,7,1
2022/8/26,21,7,1
2022/8/27,20,3,
2022/8/28,8,4,
2022/8/29,7,3,1
2022/8/30,11,4,1
2022/8/31,11,2,1
2022/9/1,8,4,1
2022/9/2,10,2,1
2022/9/3,11,2,1
2022/9/4,6,3,1
2022/9/5,25,3,
2022/9/6,28,4,1
2022/9/7,11,4,
2022/9/8,8,5,2
2022/9/9,8,3,1
2022/9/10,6,3,1
2022/9/11,5,4,1
2022/9/12,6,5,1
2022/9/13,14,5,1
2022/9/14,18,5,1
2022/9/15,8,4,
2022/9/16,5,2,
2022/9/17,5,1,1
2022/9/18,4,2,1
2022/9/19,4,2,
2022/9/20,13,3,
2022/9/21,18,5,2
2022/9/22,10,5,1
2022/9/23,13,4,1
2022/9/24,14,4,1
2022/9/25,10,3,1
2022/9/26,6,3,1
2022/9/27,8,4,1
2022/9/28,8,3,1
2022/9/29,7,3,1
2022/9/30,8,2,
2022/4/1,6,2,
2022/4/2,6,2,1
2022/4/3,9,6,1
2022/4/4,16,11,3
2022/4/5,16,7,5
2022/4/6,16,5,1
2022/4/7,13,6,1
2022/4/8,21,2,1
2022/4/9,3,2,1
2022/4/10,5,6,1
2022/4/11,15,8,1
2022/4/12,30,9,
2022/4/13,37,10,1
2022/4/14,39,7,1
2022/4/15,20,1,
2022/4/16,6,1,
2022/4/17,9,4,
2022/4/18,10,4,
2022/4/19,7,7,1
2022/4/20,12,7,1
2022/4/21,19,5,
2022/4/22,11,3,
2022/4/23,19,2,
2022/4/24,10,6,
2022/4/25,8,4,
2022/4/26,11,4,
2022/4/27,7,4,
2022/4/28,15,8,1
2022/4/29,15,7,1
2022/4/30,17,8,1
2022/5/1,14,6,
2022/5/2,10,6,
2022/5/3,11,5,
2022/5/4,18,5,
2022/5/5,13,9,1
2022/5/6,14,4,
2022/5/7,10,4,
2022/5/8,13,7,1
2022/5/9,14,6,1
2022/5/10,18,7,1
2022/5/11,21,9,2
2022/5/12,24,6,2
2022/5/13,16,3,1
2022/5/14,13,3,1
2022/5/15,14,7,
2022/5/16,25,6,1
2022/5/17,18,4,
2022/5/18,23,7,2
2022/5/19,31,8,1
2022/5/20,37,2,
2022/5/21,13,2,
2022/5/22,10,4,
2022/5/23,44,3,
2022/5/24,13,3,
2022/5/25,9,4,1
2022/5/26,10,4,
2022/5/27,13,,
2022/5/28,5,2,
2022/5/29,6,2,
2022/5/30,8,3,
2022/5/31,13,2,
2022/6/1,14,2,
2022/6/2,7,2,
2022/6/3,12,1,
2022/6/4,11,2,8
2022/6/5,11,1,
2022/6/6,6,4,1
2022/6/7,14,3,
2022/6/8,8,3,
2022/6/9,8,1,
2022/6/10,8,2,
2022/6/11,8,3,1
2022/6/12,11,7,1
2022/6/13,20,3,
2022/6/14,14,4,1
2022/6/15,25,4,
2022/6/16,15,2,
2022/6/17,12,3,
2022/6/18,14,4,1
2022/6/19,14,6,1
2022/6/20,44,4,
2022/6/21,20,3,
2022/6/22,19,1,
2022/6/23,11,2,
2022/6/24,16,1,
2022/6/25,5,2,
2022/6/26,7,4,
2022/6/27,36,3,
2022/6/28,45,2,1
2022/6/29,31,3,
2022/6/30,22,8,
2022/1/3,17,14,1
2022/1/4,22,8,
2022/1/5,12,6,
2022/1/6,9,11,
2022/1/7,18,13,
2022/1/8,26,14,1
2022/1/9,26,7,
2022/1/10,20,2,
2022/1/11,6,15,
2022/1/12,30,18,2
2022/1/13,38,15,1
2022/1/14,24,11,
2022/1/15,24,11,
2022/1/16,30,9,
2022/1/17,24,10,
2022/1/18,15,14,
2022/1/19,29,11,1
2022/1/20,22,2,
2022/1/21,5,6,
2022/1/22,9,8,
2022/1/23,17,8,
2022/1/24,19,11,
2022/1/25,25,8,
2022/1/26,31,12,
2022/1/27,38,5,
2022/1/28,12,11,
2022/1/29,20,5,
2022/1/30,11,15,1
2022/1/31,21,9,
2022/2/1,14,7,
2022/2/2,8,12,1
2022/2/3,17,14,1
2022/2/4,18,9,
2022/2/5,14,15,1
2022/2/6,19,7,
2022/2/7,9,8,1
2022/2/8,12,13,1
2022/2/9,17,14,1
2022/2/10,22,9,1
2022/2/11,13,7,1
2022/2/12,13,11,
2022/2/13,21,15,
2022/2/14,32,14,1
2022/2/15,19,9,
2022/2/16,11,7,1
2022/2/17,7,8,
2022/2/18,14,7,1
2022/2/19,10,7,1
2022/2/20,16,10,
2022/2/21,19,10,
2022/2/22,13,10,1
2022/2/23,14,15,
2022/2/24,20,6,
2022/2/25,12,5,
2022/2/26,10,3,1
2022/2/27,10,5,
2022/2/28,15,9,
2022/3/1,20,14,
2022/3/2,26,13,
2022/3/3,27,10,
2022/3/4,26,7,1
2022/3/5,18,4,1
2022/3/6,17,6,
2022/3/7,24,6,1
2022/3/8,16,11,1
2022/3/9,20,9,1
2022/3/10,21,5,
2022/3/11,24,8,3
2022/3/12,24,11,2
2022/3/13,30,15,2
2022/3/14,37,17,2
2022/3/15,39,10,1
2022/3/16,22,9,1
2022/3/17,29,9,1
2022/3/18,33,9,2
2022/3/19,30,5,1
2022/3/20,27,10,3
2022/3/21,30,15,3
2022/3/22,37,16,4
2022/3/23,38,13,4
2022/3/24,24,12,3
2022/3/25,33,13,3
2022/3/26,32,10,3
2022/3/27,26,13,2
2022/3/28,45,9,2
2022/3/29,35,12,2
2022/3/30,36,10,1
2022/3/31,18,7,1
2021/10/1,7,5,1
2021/10/2,15,3,
2021/10/3,18,8,1
2021/10/4,11,5,
2021/10/5,14,5,
2021/10/6,9,4,1
2021/10/7,3,8,1
2021/10/8,15,6,1
2021/10/9,22,10,1
2021/10/10,23,7,1
2021/10/11,17,10,1
2021/10/12,22,5,1
2021/10/13,9,8,
2021/10/14,14,9,1
2021/10/15,18,7,2
2021/10/16,12,6,1
2021/10/17,12,7,1
2021/10/18,20,8,1
2021/10/19,23,9,1
2021/10/20,22,6,1
2021/10/21,14,9,1
2021/10/22,12,7,1
2021/10/23,10,7,1
2021/10/24,14,8,1
2021/10/25,19,11,2
2021/10/26,23,10,1
2021/10/27,30,9,1
2021/10/28,27,9,1
2021/10/29,34,7,1
2021/10/30,30,8,1
2021/10/31,31,7,1
2021/11/1,23,7,1
2021/11/2,9,8,1
2021/11/3,14,5,
2021/11/4,9,8,1
2021/11/5,9,9,1
2021/11/6,13,9,1
2021/11/7,14,10,1
2021/11/8,15,10,1
2021/11/9,16,11,
2021/11/10,24,9,
2021/11/11,26,9,
2021/11/12,16,9,
2021/11/13,9,6,
2021/11/14,10,8,
2021/11/15,21,5,1
2021/11/16,23,7,
2021/11/17,27,8,
2021/11/18,26,12,1
2021/11/19,27,7,
2021/11/20,24,7,
2021/11/21,23,9,
2021/11/22,24,8,
2021/11/23,20,12,
2021/11/24,25,12,
2021/11/25,31,11,
2021/11/26,15,8,
2021/11/27,12,7,
2021/11/28,12,8,
2021/11/29,11,15,
2021/11/30,21,12,
2021/12/1,18,11,1
2021/12/2,17,9,
2021/12/3,15,14,1
2021/12/4,18,12,
2021/12/5,15,10,
2021/12/6,11,16,1
2021/12/7,21,14,
2021/12/8,24,14,
2021/12/9,23,13,
2021/12/10,20,8,
2021/12/11,20,7,
2021/12/12,9,20,
2021/12/13,28,11,1
2021/12/14,27,10,
2021/12/15,25,10,
2021/12/16,19,9,
2021/12/17,12,10,
2021/12/18,20,13,
2021/12/19,23,10,
2021/12/20,17,13,
2021/12/21,27,11,
2021/12/22,28,15,1
2021/12/23,30,19,2
2021/12/24,28,15,2
2021/12/25,24,5,
2021/12/26,11,10,
2021/12/27,17,10,
2021/12/28,23,12,
2021/12/29,16,11,
2021/12/30,19,8,3
2021/12/31,21,9,
2022/1/1,30,10,2
2022/1/2,20,13,2
2021/7/1,6,6,
2021/7/2,10,3,
2021/7/3,9,6,
2021/7/4,13,4,
2021/7/5,12,6,
2021/7/6,12,4,
2021/7/7,17,5,
2021/7/8,23,3,
2021/7/9,14,5,2
2021/7/10,9,6,
2021/7/11,10,4,
2021/7/12,12,5,
2021/7/13,23,4,
2021/7/14,16,4,1
2021/7/15,10,6,2
2021/7/16,11,3,1
2021/7/17,9,2,1
2021/7/18,9,1,
2021/7/19,14,4,1
2021/7/20,13,4,1
2021/7/21,16,6,1
2021/7/22,18,3,
2021/7/23,16,5,2
2021/7/24,15,3,
2021/7/25,13,5,
2021/7/26,18,7,1
2021/7/27,19,6,1
2021/7/28,18,5,
2021/7/29,9,8,2
2021/7/30,15,4,1
2021/7/31,8,5,1
2021/8/1,7,6,1
2021/8/2,6,5,1
2021/8/3,7,9,1
2021/8/4,11,5,
2021/8/5,7,5,1
2021/8/6,6,5,1
2021/8/7,9,4,
2021/8/8,6,5,
2021/8/9,8,7,
2021/8/10,13,5,
2021/8/11,11,6,1
2021/8/12,18,8,1
2021/8/13,20,8,2
2021/8/14,21,10,2
2021/8/15,19,5,2
2021/8/16,13,2,
2021/8/17,5,3,1
2021/8/18,8,7,1
2021/8/19,10,7,2
2021/8/20,12,7,2
2021/8/21,13,6,2
2021/8/22,13,3,1
2021/8/23,6,3,1
2021/8/24,6,4,
2021/8/25,10,8,2
2021/8/26,14,5,1
2021/8/27,7,6,2
2021/8/28,8,4,2
2021/8/29,6,5,1
2021/8/30,7,4,1
2021/8/31,6,3,
2021/9/1,9,4,1
2021/9/2,12,7,
2021/9/3,16,6,
2021/9/4,13,7,
2021/9/5,12,8,
2021/9/6,18,8,1
2021/9/7,20,8,1
2021/9/8,21,8,2
2021/9/9,20,9,1
2021/9/10,20,9,2
2021/9/11,22,9,2
2021/9/12,17,8,1
2021/9/13,18,9,1
2021/9/14,22,9,1
2021/9/15,25,8,1
2021/9/16,17,5,
2021/9/17,7,6,1
2021/9/18,12,5,1
2021/9/19,9,3,
2021/9/20,6,4,
2021/9/21,9,6,1
2021/9/22,13,7,1
2021/9/23,13,9,1
2021/9/24,16,8,1
2021/9/25,15,5,1
2021/9/26,14,10,1
2021/9/27,16,7,2
2021/9/28,15,8,1
2021/9/29,15,5,2
2021/9/30,6,4,1
2021/4/1,21,7,2
2021/4/2,27,3,
2021/4/3,13,3,
2021/4/4,9,9,1
2021/4/5,13,3,
2021/4/6,8,7,
2021/4/7,10,7,
2021/4/8,13,9,1
2021/4/9,20,9,3
2021/4/10,14,4,1
2021/4/11,11,8,1
2021/4/12,8,1,
2021/4/13,5,4,
2021/4/14,10,6,
2021/4/15,13,9,1
2021/4/16,13,7,2
2021/4/17,14,4,
2021/4/18,13,6,1
2021/4/19,10,6,
2021/4/20,12,8,3
2021/4/21,13,8,1
2021/4/22,12,6,
2021/4/23,17,8,1
2021/4/24,20,7,2
2021/4/25,19,6,
2021/4/26,18,10,
2021/4/27,24,7,
2021/4/28,19,5,
2021/4/29,17,8,1
2021/4/30,11,4,1
2021/5/1,11,2,
2021/5/2,7,4,
2021/5/3,9,7,
2021/5/4,11,8,2
2021/5/5,12,3,
2021/5/6,7,7,
2021/5/7,8,5,
2021/5/8,10,5,
2021/5/9,11,8,
2021/5/10,18,6,
2021/5/11,15,7,
2021/5/12,9,5,
2021/5/13,4,5,
2021/5/14,7,7,2
2021/5/15,8,5,
2021/5/16,7,6,
2021/5/17,5,5,
2021/5/18,8,3,
2021/5/19,5,4,
2021/5/20,8,8,1
2021/5/21,10,6,
2021/5/22,10,4,
2021/5/23,6,7,3
2021/5/24,9,7,
2021/5/25,7,5,
2021/5/26,10,8,3
2021/5/27,11,5,1
2021/5/28,10,4,
2021/5/29,10,3,
2021/5/30,9,7,4
2021/5/31,11,5,
2021/6/1,13,7,1
2021/6/2,19,5,2
2021/6/3,17,5,2
2021/6/4,19,8,1
2021/6/5,18,6,1
2021/6/6,6,9,1
2021/6/7,14,7,1
2021/6/8,18,7,1
2021/6/9,18,8,2
2021/6/10,15,5,2
2021/6/11,9,5,1
2021/6/12,12,2,
2021/6/13,11,3,
2021/6/14,14,7,2
2021/6/15,18,11,3
2021/6/16,18,7,1
2021/6/17,19,6,
2021/6/18,20,6,1
2021/6/19,21,4,
2021/6/20,22,4,
2021/6/21,38,6,2
2021/6/22,36,7,
2021/6/23,26,5,
2021/6/24,41,3,1
2021/6/25,16,5,1
2021/6/26,8,4,
2021/6/27,9,7,
2021/6/28,15,7,
2021/6/29,24,2,
2021/6/30,15,5,3
2021/1/4,15,8,1
2021/1/5,13,8,1
2021/1/6,12,13,1
2021/1/7,17,12,1
2021/1/8,17,15,5
2021/1/9,20,11,1
2021/1/10,20,15,3
2021/1/11,17,19,6
2021/1/12,22,16,2
2021/1/13,21,13,1
2021/1/14,16,13,2
2021/1/15,20,12,
2021/1/16,25,6,
2021/1/17,27,15,1
2021/1/18,37,20,2
2021/1/19,32,21,3
2021/1/20,21,19,1
2021/1/21,22,16,1
2021/1/22,20,8,
2021/1/23,15,9,1
2021/1/24,13,16,1
2021/1/25,15,13,1
2021/1/26,17,14,
2021/1/27,20,22,3
2021/1/28,26,16,1
2021/1/29,27,11,
2021/1/30,17,4,
2021/1/31,11,16,
2021/2/1,24,16,1
2021/2/2,34,16,2
2021/2/3,26,13,1
2021/2/4,19,16,2
2021/2/5,25,9,1
2021/2/6,25,7,1
2021/2/7,29,8,
2021/2/8,10,10,
2021/2/9,12,10,
2021/2/10,15,6,1
2021/2/11,16,6,1
2021/2/12,19,4,
2021/2/13,14,6,1
2021/2/14,11,18,4
2021/2/15,23,18,1
2021/2/16,34,15,1
2021/2/17,29,15,1
2021/2/18,22,17,2
2021/2/19,29,11,3
2021/2/20,30,6,1
2021/2/21,48,14,1
2021/2/22,38,16,1
2021/2/23,41,18,5
2021/2/24,55,17,4
2021/2/25,54,17,3
2021/2/26,54,8,2
2021/2/27,22,9,3
2021/2/28,17,13,2
2021/3/1,23,14,1
2021/3/2,31,15,2
2021/3/3,31,19,3
2021/3/4,32,10,2
2021/3/5,22,5,
2021/3/6,14,13,1
2021/3/7,23,12,3
2021/3/8,24,7,
2021/3/9,22,10,
2021/3/10,25,16,1
2021/3/11,36,10,1
2021/3/12,16,7,1
2021/3/13,14,7,
2021/3/14,12,9,
2021/3/15,10,6,1
2021/3/16,8,6,1
2021/3/17,10,8,
2021/3/18,14,16,3
2021/3/19,15,7,
2021/3/20,14,7,2
2021/3/21,16,6,
2021/3/22,12,5,
2021/3/23,11,6,
2021/3/24,14,10,3
2021/3/25,28,14,4
2021/3/26,22,10,2
2021/3/27,18,4,
2021/3/28,11,8,3
2021/3/29,19,12,2
2021/3/30,21,10,4
2021/3/31,21,10,3
2020/10/1,14,9,1
2020/10/2,18,3,
2020/10/3,12,2,
2020/10/4,5,7,
2020/10/5,8,6,
2020/10/6,10,7,
2020/10/7,11,5,
2020/10/8,11,10,1
2020/10/9,15,4,
2020/10/10,12,4,
